"","BUSINESS_DATE","sales","visits","weekday","NET_COST","FORMAT.15 secondi","FORMAT.20 secondi","FORMAT.30 secondi","NETWORK.Area News-Radio Margherita-Kiss Kiss Italia","NETWORK.CNR Radio FM","NETWORK.R101","NETWORK.Radio 105 Network","NETWORK.Radio Deejay Network","NETWORK.Radio Dimensione Suono Network","NETWORK.Radio Italia Solo Musica Italiana","NETWORK.Radio Kiss Kiss Network","NETWORK.Radio Sportiva","NETWORK.Radiodue","NETWORK.Radiouno","NETWORK.RTL 102.5 Hit Radio","NETWORK.Teamradio University","NETWORK.Virgin Radio","trend"
"128","2015-09-19",3344787.36,447457,"Saturday",9596.72,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,128
"129","2015-09-20",2965862.98,379264,"Sunday",8666.84,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,129
"130","2015-09-21",1777971.98,276109,"Monday",8666.84,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,130
"131","2015-09-22",1806005.61,279835,"Tuesday",8666.84,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,131
"132","2015-09-23",1855185.69,279393,"Wednesday",8666.84,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,132
"133","2015-09-24",1997027.31,299607,"Thursday",8666.84,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,133
"134","2015-09-25",2466808.34,356239,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
"135","2015-09-26",3294679.65,441249,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
"136","2015-09-27",2960270.44,377098,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
"137","2015-09-28",1725171,267368,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
"138","2015-09-29",1767263.16,273375,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
"139","2015-09-30",1895779.88,280167,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
"140","2015-10-01",1934449.36,281875,"Thursday",42500,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140
"141","2015-10-02",2411388.55,337123,"Friday",8996.36,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,141
"142","2015-10-03",3567128.36,452908,"Saturday",8762.1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,142
"143","2015-10-04",3094923.74,379343,"Sunday",8869.43,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,143
"144","2015-10-05",1767151.76,265322,"Monday",8900.37,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,144
"145","2015-10-06",1762381.98,264984,"Tuesday",9192.09,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,145
"146","2015-10-07",1854500,274448,"Wednesday",9116.95,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,146
"147","2015-10-08",1938439.68,283231,"Thursday",9008.98,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,147
"148","2015-10-09",2539034,354457,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
"149","2015-10-10",3408944.91,430196,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
