,BUSINESS_DATE,sales,visits,weekday,15 secondi_R101,15 secondi_Radio 105 Network,15 secondi_Radio Deejay Network,15 secondi_Radio Dimensione Suono Network,15 secondi_Radio Italia Solo Musica Italiana,15 secondi_Radio Kiss Kiss Network,15 secondi_Virgin Radio,20 secondi_Area News-Radio Margherita-Kiss Kiss Italia,20 secondi_CNR Radio FM,20 secondi_R101,20 secondi_Radio 105 Network,20 secondi_Radio Deejay Network,20 secondi_Radio Dimensione Suono Network,20 secondi_Radio Italia Solo Musica Italiana,20 secondi_Radio Kiss Kiss Network,20 secondi_Radio Sportiva,20 secondi_Radiodue,20 secondi_Radiouno,20 secondi_RTL 102.5 Hit Radio,20 secondi_Teamradio University,20 secondi_Virgin Radio,30 secondi_Radio 105 Network,trend
83,8/5/15,2140872.96,304979,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
84,8/6/15,2196386.51,310670,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
85,8/7/15,2418219.72,336200,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
86,8/8/15,2781961.52,369443,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
87,8/9/15,2602773.62,337843,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
88,8/10/15,2464672.28,315396,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
89,8/11/15,2380640.01,311184,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
90,8/12/15,2301746.4,307201,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
91,8/13/15,2230995.3,304008,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
92,8/14/15,2460008.75,326369,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
93,8/15/15,2251317.63,288312,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
94,8/16/15,3194853.46,374433,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
95,8/17/15,2381507.82,311701,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
96,8/18/15,2201246.47,295444,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
97,8/19/15,2445403.07,315458,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
98,8/20/15,2157421.53,296196,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
99,8/21/15,2300600.92,313925,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
100,8/22/15,2572543.64,345375,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
101,8/23/15,2517698.94,325949,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
102,8/24/15,2190942.71,298400,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
103,8/25/15,2017139.87,290507,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
104,8/26/15,1971085.19,285865,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
105,8/27/15,2114482.7,300033,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
106,8/28/15,2362329.2,330403,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
107,8/29/15,2849378.85,381499,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
108,8/30/15,2690080.27,350410,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
109,8/31/15,2169109.38,307976,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
110,9/1/15,2173661.38,311042,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
111,9/2/15,2277501.3,322331,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
112,9/3/15,2311591.21,328476,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
113,9/4/15,2639550.44,363187,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
114,9/5/15,3349079.04,432006,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
115,9/6/15,3067420.89,387799,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42500,115
116,9/7/15,2214567.62,320709,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
117,9/8/15,2256610.46,324578,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
118,9/9/15,2288193.19,322560,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
119,9/10/15,2413817.44,340910,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
120,9/11/15,2773855.63,380657,Friday,0,0,0,0,0,0,0,0,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,0,2408.36,0,612.78,0,120
121,9/12/15,3364700.13,436067,Saturday,0,0,0,0,0,0,0,0,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,0,2408.36,0,612.78,0,121
122,9/13/15,3023011.45,380951,Sunday,0,0,0,0,0,0,0,552.48,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,224.4,2408.36,0,612.78,0,122
123,9/14/15,2202870.51,318068,Monday,0,0,0,0,0,0,0,552.48,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,397.8,2408.36,0,612.78,0,123
124,9/15/15,2010627.92,300993,Tuesday,0,0,0,0,0,0,0,552.48,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,397.8,2408.36,0,612.78,0,124
125,9/16/15,1992772.54,299949,Wednesday,0,0,0,0,0,0,0,552.48,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,54.4,299.2,2408.36,0,612.78,0,125
